pixel_width;pixel_height;distance_m
64.349;47.411;1.113
39.810;29.230;1.525
50.936;40.269;1.306
36.809;26.484;1.912
45.397;40.012;1.317
37.671;24.019;1.781
58.518;43.177;1.255
73.651;51.055;0.863
60.820;46.081;0.960
41.992;34.014;1.826
43.077;29.884;1.919
37.233;30.922;1.665
60.891;54.842;0.954
49.122;35.298;1.556
40.099;22.543;1.921
35.317;34.790;1.674
55.638;37.206;1.165
60.645;53.030;0.965
92.954;73.809;0.630
45.739;32.337;1.368
224.000;224.000;0.200
51.747;34.970;1.495
49.724;40.002;1.472
121.300;91.266;0.500
111.388;75.794;0.576
171.815;134.674;0.347
224.000;191.135;0.244
81.747;61.662;0.747
39.134;34.431;1.769
37.052;23.085;1.927
224.000;180.631;0.255
48.789;31.298;1.474
33.174;31.828;1.877
53.053;42.550;1.105
37.147;24.481;1.756
43.054;33.457;1.413
42.634;39.078;1.399
49.389;39.097;1.389
156.079;114.954;0.394
71.789;50.861;0.952
51.199;33.521;1.391
35.511;33.456;1.675
52.150;35.010;1.259
35.556;27.257;1.690
36.208;27.591;1.944
46.661;42.397;1.400
86.571;67.080;0.684
48.421;38.365;1.279
70.037;50.745;0.882
202.902;147.935;0.297
39.618;29.030;1.731
88.700;62.429;0.745
188.846;145.317;0.307
70.728;61.006;0.822
122.448;95.677;0.519
59.081;38.284;1.152
109.875;81.409;0.554
71.475;60.261;0.824
122.180;97.308;0.474
39.497;34.188;1.686
57.262;48.539;1.140
224.000;177.177;0.258
43.659;34.089;1.637
143.117;106.762;0.427
48.734;28.253;1.576
50.225;38.829;1.278
72.687;54.035;0.939
206.600;149.131;0.297
41.731;30.447;1.622
39.513;37.530;1.509
34.250;30.475;1.820
66.303;47.957;1.040
36.700;36.431;1.625
81.155;53.965;0.807
63.050;57.002;0.920
40.707;27.094;1.732
56.496;44.420;1.167
224.000;224.000;0.197
187.402;145.049;0.319
39.321;32.674;1.576
81.693;67.114;0.710
34.089;27.435;1.824
38.870;27.306;1.622
58.976;39.189;1.192
46.465;35.655;1.249
51.001;40.926;1.355
91.984;70.499;0.727
136.925;108.722;0.429
146.697;111.552;0.429
224.000;199.253;0.225
31.786;34.298;1.790
65.740;57.022;0.879
57.113;47.762;1.136
54.224;43.763;1.066
155.225;116.028;0.407
72.801;54.555;0.854
61.449;51.475;1.028
38.014;27.371;1.786
49.022;45.898;1.212
40.990;26.832;1.855
60.615;48.361;1.140
46.507;37.292;1.522
68.256;49.613;0.873
58.217;44.495;1.008
40.669;32.533;1.915
43.514;35.060;1.308
43.626;30.347;1.711
60.616;51.402;1.078
47.739;42.678;1.191
57.227;45.280;1.240
43.701;35.333;1.601
66.356;43.411;1.076
69.049;51.802;0.897
42.756;24.315;1.940
75.501;60.638;0.760
54.467;39.053;1.366
72.429;46.357;0.964
40.958;29.989;1.420
32.242;26.369;1.770
32.460;30.481;1.876
109.679;79.115;0.583
153.646;115.346;0.399
67.165;56.057;0.940
48.552;41.689;1.250
43.576;32.851;1.794
92.776;74.855;0.635
53.863;31.905;1.374
32.784;33.457;1.832
37.663;33.580;1.556
45.789;39.031;1.521
181.197;134.774;0.330
52.253;33.772;1.355
35.968;28.978;1.696
37.975;31.690;1.625
46.276;34.576;1.635
61.754;40.627;1.123
106.613;84.323;0.587
44.760;34.122;1.384
49.277;41.576;1.264
55.890;45.190;1.120
37.778;31.304;1.983
37.093;31.689;1.870
63.909;47.226;0.943
51.377;46.030;1.246
113.774;84.950;0.565
45.706;36.987;1.283
131.462;100.619;0.449
82.194;68.595;0.763
198.077;147.790;0.300
30.756;27.742;1.867
53.038;46.634;1.169
47.299;33.751;1.565
55.254;36.474;1.316
30.527;28.503;1.925
190.078;139.666;0.318
37.789;28.607;1.785
57.908;35.649;1.287
76.997;55.776;0.796
94.638;66.441;0.672
44.713;25.536;1.724
53.030;37.062;1.230
39.620;30.571;1.449
136.716;99.402;0.441
160.650;114.051;0.392
31.425;23.249;1.948
39.903;37.946;1.547
37.512;37.907;1.614
40.032;27.467;1.586
99.957;84.788;0.591
45.424;30.602;1.466
75.587;48.960;0.882
95.046;75.100;0.639
73.471;58.614;0.839
164.723;116.878;0.373
76.179;52.415;0.825
34.004;23.806;1.942
35.582;26.349;1.979
81.501;69.086;0.710
159.625;114.387;0.388
144.132;114.145;0.419
131.855;106.664;0.458
40.309;25.051;1.866
106.220;82.398;0.597
55.047;47.768;1.146
92.484;68.024;0.691
34.659;31.534;1.946
212.456;168.247;0.276
45.789;38.520;1.579
39.879;37.590;1.466
75.287;62.331;0.780
61.997;55.231;0.970
49.554;30.843;1.559
224.000;181.819;0.253
44.748;33.634;1.638
73.167;51.965;0.856
47.481;40.213;1.200
96.982;76.438;0.604
71.688;55.875;0.810
33.379;29.626;2.000
31.382;28.865;1.979
65.630;46.967;1.073
96.969;74.200;0.600
36.474;30.610;1.924
143.351;110.511;0.442
196.136;152.102;0.300
115.085;85.978;0.525
34.937;25.716;1.712
73.572;66.472;0.792
110.361;84.376;0.527
49.803;36.329;1.443
46.445;36.943;1.241
145.544;116.950;0.408
192.789;148.849;0.302
37.220;27.447;1.947
42.755;33.813;1.365
67.270;57.730;0.901
50.490;41.293;1.445
58.351;43.343;1.012
50.118;45.773;1.185
46.016;34.341;1.249
224.000;224.000;0.191
130.783;103.559;0.468
48.356;37.747;1.603
41.683;33.165;1.416
43.075;29.718;1.819
54.433;33.857;1.265
46.390;36.208;1.599
87.993;67.272;0.773
47.477;45.296;1.242
143.262;104.225;0.426
224.000;178.364;0.247
83.176;56.672;0.821
44.697;34.781;1.495
80.893;58.678;0.791
31.600;31.818;1.791
45.260;31.497;1.508
63.097;43.104;1.144
45.922;28.977;1.628
114.766;82.777;0.546
41.822;30.595;1.668
37.773;25.954;1.952
44.039;34.054;1.609
131.248;104.370;0.466
115.921;80.731;0.554
60.434;43.045;1.050
61.432;53.479;1.031
99.887;73.297;0.652
51.302;39.655;1.323
42.925;37.834;1.430
34.572;27.796;1.734
196.633;150.330;0.314
169.101;135.808;0.351
30.143;26.047;1.950
224.000;165.972;0.264
71.386;51.455;0.855
88.395;67.809;0.683
201.369;147.607;0.302
90.489;71.133;0.693
36.870;24.557;1.756
37.918;32.296;1.545
33.071;26.395;1.945
45.100;44.198;1.311
89.585;64.616;0.681
108.627;80.993;0.565
46.999;36.517;1.289
50.930;39.040;1.200
54.974;48.181;1.155
88.185;63.313;0.742
224.000;171.481;0.261
110.112;81.073;0.537
33.186;22.594;1.867
29.806;24.791;1.950
54.383;35.356;1.292
149.565;124.413;0.385
94.519;65.241;0.694
40.339;27.351;1.817
62.370;44.885;0.981
39.126;35.413;1.562
63.509;47.120;1.050
36.609;25.496;1.964
44.289;34.387;1.313
198.841;150.846;0.296
80.837;55.970;0.795
224.000;223.882;0.201
173.780;132.016;0.343
28.642;32.381;1.981
115.841;87.519;0.505
224.000;224.000;0.184
32.323;22.604;1.872
82.976;62.435;0.753
45.261;29.468;1.550
39.411;35.517;1.729
38.396;33.416;1.596
36.765;22.125;1.939
108.977;82.144;0.558
55.342;44.127;1.235
90.414;70.780;0.686
56.763;39.486;1.246
106.965;78.188;0.584
97.173;73.459;0.602
87.256;67.401;0.660
41.465;32.286;1.493
75.781;65.900;0.790
56.344;49.945;1.067
71.422;58.696;0.835
186.181;136.490;0.329
51.699;41.233;1.213
100.385;75.603;0.575
37.561;36.438;1.601
45.720;38.205;1.530
52.253;34.614;1.272
66.493;49.190;1.006
37.865;25.359;1.809
224.000;181.990;0.247
43.336;27.556;1.744
36.571;32.176;1.686
34.632;34.455;1.722
37.424;30.502;1.991
44.014;44.493;1.307
148.640;103.634;0.425
61.528;47.449;1.070
209.309;157.106;0.293
50.471;34.530;1.495
221.935;169.838;0.263
130.663;94.511;0.467
196.398;147.901;0.301
50.791;39.454;1.509
105.469;76.142;0.617
224.000;178.299;0.261
90.408;67.362;0.727
58.641;42.710;1.184
187.314;143.851;0.321
44.789;36.115;1.675
45.332;36.876;1.293
187.721;145.088;0.327
62.438;39.830;1.122
47.739;38.367;1.415
42.630;39.649;1.528
129.878;104.038;0.455
144.433;112.531;0.399
41.027;27.261;1.606
39.431;29.542;1.731
37.084;38.831;1.569
60.037;49.429;1.007
72.860;63.959;0.803
45.494;33.684;1.310
56.564;46.276;1.156
45.320;30.910;1.542
40.221;25.928;1.942
60.485;39.402;1.195
39.137;31.357;1.912
54.863;40.777;1.310
93.996;72.329;0.632
60.521;46.753;1.138
129.730;99.482;0.455
145.285;109.177;0.412
140.836;102.037;0.432
52.335;39.142;1.285
51.343;47.932;1.118
47.234;34.401;1.617
189.895;143.482;0.308
46.796;36.460;1.423
45.288;29.941;1.603
124.331;101.291;0.483
35.198;35.632;1.608
224.000;224.000;0.197
40.457;26.480;1.954
193.327;146.716;0.308
106.741;78.465;0.564
82.740;70.927;0.705
37.867;27.753;1.787
49.438;39.007;1.316
50.908;42.067;1.279
40.836;35.182;1.568
41.738;22.987;1.991
134.633;100.060;0.467
45.107;33.848;1.486
74.171;47.888;0.910
85.392;73.961;0.671
42.815;29.113;1.559
66.328;52.233;0.960
56.390;50.502;1.086
47.752;40.927;1.247
103.323;75.389;0.588
43.043;36.098;1.412
38.190;33.307;1.521
94.068;76.834;0.615
56.760;43.946;1.165
75.808;59.865;0.828
83.574;64.860;0.729
47.811;38.993;1.569
51.741;45.693;1.207
206.379;159.302;0.289
100.259;77.688;0.622
224.000;201.955;0.218
87.560;65.734;0.740
55.687;47.442;1.178
79.271;59.417;0.794
54.872;43.035;1.335
224.000;216.777;0.211
89.095;73.993;0.674
166.935;128.219;0.359
137.472;113.385;0.424
51.469;38.552;1.349
50.073;32.943;1.562
39.479;25.105;1.747
53.020;48.564;1.087
224.000;183.005;0.253
55.610;41.354;1.145
59.192;40.152;1.229
30.577;26.769;1.872
44.907;26.945;1.795
45.295;24.715;1.738
51.245;44.125;1.164
50.354;38.613;1.500
78.508;59.447;0.812
40.566;26.720;1.887
40.002;25.713;1.719
224.000;176.176;0.258
36.362;21.734;1.972
103.011;74.185;0.603
69.101;52.218;0.965
110.496;74.618;0.584
107.562;88.476;0.535
224.000;178.241;0.261
132.933;107.421;0.448
31.529;31.904;1.935
43.209;27.629;1.645
178.091;140.258;0.326
98.961;74.743;0.658
48.538;31.581;1.553
32.391;28.450;1.995
63.608;47.215;0.959
99.775;82.595;0.586
62.783;48.712;1.087
46.950;33.598;1.579
112.069;86.265;0.577
39.911;34.444;1.428
116.072;94.294;0.522
224.000;198.666;0.229
165.311;115.300;0.379
88.357;63.723;0.697
92.679;77.357;0.624
98.179;66.846;0.651
51.780;31.856;1.368
136.079;110.484;0.437
68.766;52.013;0.887
29.628;33.155;1.933
34.508;35.414;1.679
40.171;32.209;1.944
44.617;40.666;1.450
48.537;37.367;1.210
42.937;33.691;1.417
49.855;41.053;1.333
43.964;25.037;1.839
31.484;26.639;1.811
74.369;57.130;0.776
224.000;198.334;0.221
72.823;64.426;0.808
186.178;140.563;0.321
86.169;65.065;0.696
43.600;30.695;1.578
181.230;143.858;0.320
37.633;24.518;1.803
55.608;43.367;1.260
50.481;38.530;1.143
48.530;27.158;1.587
55.476;44.180;1.221
45.556;36.298;1.563
33.866;34.712;1.825
98.466;77.104;0.637
34.839;25.474;1.875
52.811;43.080;1.120
43.766;35.610;1.742
47.626;38.282;1.364
224.000;199.826;0.231
101.051;68.887;0.640
37.585;31.436;1.690
82.370;62.289;0.790
54.603;51.724;1.045
50.103;46.325;1.191
49.898;41.125;1.383
80.992;59.025;0.798
49.348;47.958;1.156
52.368;31.070;1.430
180.215;129.152;0.345
124.688;89.526;0.502
40.719;28.586;1.779
37.718;27.467;1.767
107.147;82.375;0.581
44.087;34.391;1.303
55.356;46.292;1.113
191.636;144.174;0.324
47.294;37.528;1.501
64.161;50.466;1.052
112.578;88.319;0.520
63.301;54.660;0.953
63.674;48.214;0.959
51.597;37.973;1.345
66.862;44.730;1.021
48.893;36.381;1.203
48.710;38.609;1.574
37.986;34.076;1.587
55.915;53.245;1.022
67.934;47.014;0.926
59.799;52.098;1.051
54.137;36.894;1.274
41.778;27.215;1.833
35.283;33.427;1.724
44.502;31.757;1.742
150.697;109.930;0.405
48.481;41.638;1.229
48.813;38.782;1.456
39.035;36.599;1.694
48.864;29.415;1.594
32.557;34.429;1.741
97.073;75.014;0.605
57.501;35.475;1.249
38.823;26.147;1.891
51.003;37.467;1.481
108.910;76.290;0.597
33.077;25.979;1.977
49.044;31.564;1.511
65.612;49.516;1.041
144.517;104.486;0.430
78.679;68.052;0.745
160.145;112.782;0.394
39.785;31.831;1.810
77.912;62.240;0.812
170.438;128.421;0.357
104.973;78.464;0.629
199.571;150.746;0.302
51.694;38.073;1.393
34.711;26.960;1.709
58.086;40.360;1.197
51.467;35.130;1.256
42.068;31.248;1.693
61.538;51.220;1.071
52.119;39.235;1.197
54.110;43.635;1.257
51.160;34.199;1.340
38.530;36.079;1.595
32.181;25.423;1.802
44.566;30.835;1.587
105.926;87.542;0.563
33.056;31.626;1.977
84.639;56.981;0.773
44.473;30.757;1.389
38.912;25.897;1.979
39.054;27.216;1.761
103.609;79.356;0.560
36.466;31.175;1.675
39.292;27.682;1.976
54.812;38.451;1.261
30.937;34.432;1.864
117.439;89.727;0.506
204.445;160.745;0.294
63.412;55.646;0.956
51.774;33.125;1.481
120.235;88.214;0.526
62.911;53.996;0.912
38.871;30.088;1.814
113.553;82.670;0.532
66.609;56.948;0.858
83.708;56.158;0.779
48.844;31.451;1.469
224.000;205.350;0.219
200.335;154.413;0.305
95.871;73.882;0.675
87.968;68.118;0.663
153.593;119.729;0.404
194.665;153.535;0.301
34.197;31.341;1.666
74.718;56.647;0.937
101.336;76.163;0.626
59.299;50.120;0.984
33.480;27.888;1.687
123.867;103.692;0.473
32.934;23.800;1.982
51.715;41.723;1.320
49.063;30.519;1.564
36.232;27.041;1.719
50.872;42.044;1.204
78.294;58.229;0.868
46.718;38.642;1.478
56.887;35.556;1.251
79.329;59.348;0.844
90.395;64.879;0.680
41.585;28.624;1.992
224.000;224.000;0.204
58.550;46.972;1.020
47.449;29.497;1.477
49.731;38.533;1.285
79.588;60.807;0.849
34.470;22.516;1.988
56.603;44.697;1.130
129.273;99.680;0.465
162.498;129.806;0.363
169.187;128.833;0.355
123.682;88.005;0.514
53.933;37.077;1.228
52.631;38.363;1.422
76.856;69.462;0.745
49.645;32.089;1.572
54.128;41.641;1.409
36.478;36.294;1.729
35.071;27.503;1.970
205.417;154.597;0.298
75.277;64.182;0.814
52.848;35.336;1.283
52.717;41.847;1.214
136.281;98.690;0.460
46.046;37.782;1.359
64.050;51.468;0.934
49.299;38.032;1.294
178.042;133.478;0.335
36.198;27.073;1.718
54.749;43.683;1.095
42.696;35.044;1.587
55.855;45.258;1.111
45.452;31.370;1.585
37.958;33.162;1.602
39.026;26.285;1.772
46.128;44.229;1.310
64.580;45.851;1.007
197.445;150.305;0.302
92.754;78.554;0.644
51.374;35.106;1.390
29.872;24.411;1.936
121.449;91.228;0.495
44.224;43.596;1.339
37.604;27.546;1.959
207.960;151.041;0.294
35.114;35.009;1.749
203.683;152.395;0.288
95.215;79.043;0.607
158.540;113.227;0.388
99.725;73.529;0.597
44.807;43.935;1.309
224.000;216.405;0.204
82.324;56.450;0.789
43.949;23.460;1.861
34.882;32.278;1.986
36.363;34.759;1.555
91.207;65.412;0.669
224.000;190.409;0.238
83.514;55.556;0.781
45.917;42.058;1.258
103.552;84.535;0.587
35.672;29.451;1.831
47.824;35.685;1.205
202.367;153.782;0.296
37.885;29.935;1.568
32.107;28.402;1.952
43.720;37.537;1.461
71.999;54.542;0.974
224.000;212.890;0.212
71.616;47.873;0.920
158.066;119.500;0.390
65.161;48.676;1.029
110.968;84.478;0.524
66.622;59.717;0.893
46.990;43.620;1.285
52.301;42.217;1.171
84.441;65.883;0.721
70.081;51.891;0.989
39.759;26.923;1.950
224.000;220.186;0.208
224.000;185.725;0.241
43.317;31.969;1.868
36.175;29.285;1.756
51.801;32.607;1.387
61.255;44.912;1.002
48.286;36.654;1.539
34.677;24.877;1.996
224.000;188.425;0.237
54.059;43.885;1.270
36.527;33.177;1.895
140.868;107.124;0.416
74.730;53.072;0.820
54.876;37.251;1.251
185.750;145.140;0.327
224.000;187.556;0.242
87.119;62.224;0.781
52.505;48.691;1.152
39.568;34.594;1.438
57.214;43.707;0.997
224.000;176.640;0.252
42.860;32.090;1.876
57.703;45.200;1.132
30.443;33.237;1.930
139.902;106.001;0.418
65.146;48.974;1.088
84.477;58.957;0.811
40.079;35.447;1.554
89.566;66.587;0.684
35.395;23.831;1.917
47.959;30.823;1.597
35.999;25.451;1.978
30.646;30.476;1.962
124.519;89.998;0.490
34.245;32.539;1.928
48.787;33.298;1.314
36.788;26.826;1.653
44.614;32.579;1.313
50.482;35.755;1.221
53.803;39.811;1.271
57.265;38.303;1.153
59.116;45.023;1.008
46.741;41.016;1.268
41.791;35.156;1.633
224.000;178.959;0.253
77.377;60.817;0.862
44.211;26.412;1.608
107.583;82.783;0.544
206.786;164.581;0.282
75.669;55.911;0.819
86.163;67.021;0.709
102.352;81.960;0.614
224.000;224.000;0.189
39.436;32.533;1.447
56.374;50.484;1.014
81.015;66.142;0.785
53.355;44.023;1.124
133.206;92.176;0.472
55.902;43.700;1.111
38.186;24.816;1.726
66.834;56.560;0.901
77.787;55.052;0.809
95.829;70.433;0.677
53.743;40.068;1.170
39.431;36.270;1.480
47.190;29.287;1.534
56.559;41.866;1.223
43.370;26.449;1.773
37.339;33.488;1.588
63.018;43.457;1.077
52.801;39.444;1.124
127.021;102.273;0.468
50.946;43.250;1.151
50.252;46.624;1.150
78.496;58.882;0.881
111.440;88.270;0.546
77.274;57.340;0.859
84.924;69.350;0.707
64.016;47.765;1.005
59.532;43.382;1.104
57.251;35.795;1.226
93.540;73.019;0.616
120.173;94.485;0.512
35.532;32.038;1.727
43.198;40.078;1.329
41.598;36.401;1.623
71.977;56.484;0.893
34.647;36.287;1.708
41.655;39.477;1.470
68.938;53.914;0.966
68.249;57.742;0.842
154.833;110.383;0.407
40.599;40.400;1.466
44.035;43.648;1.296
37.076;29.011;1.886
38.240;24.617;1.932
224.000;219.648;0.200
49.198;47.841;1.194
49.458;37.394;1.444
155.848;121.914;0.388
82.932;64.909;0.790
224.000;224.000;0.197
175.184;128.252;0.343
66.001;53.046;0.882
41.538;29.641;1.833
47.358;33.270;1.623
72.920;53.999;0.914
47.868;32.142;1.350
47.920;38.463;1.541
54.841;39.474;1.164
51.708;40.075;1.306
129.721;98.440;0.457
224.000;173.488;0.253
